priority_rank,priority_score,priority_tier,catalog,source_id,cohorts,cohort_ranks,cohort_count,cohort_score,visibility_score,quality_score,crossmatch_gap_score,priority_reasons,quality_flags,quality_flag_count,has_official_best_neighbour,has_fis_supplemental_match,has_any_gaia_hip_match,official_neighbourhood_ids,counterpart_ids,apparent_mag,r_pc_parallax,pm_total_masyr
25,104.68,P2,hipparcos2,113368,brightest;nearest,brightest:18;nearest:106,2,62.68,20.0,0.0,22.0,brightest_rank=18;nearest_rank=106;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,1.180799961090088,7.703567028045654,367.86452859714535
26,104.52,P1,hipparcos2,24608,brightest;nearest,brightest:7;nearest:353,2,48.52,16.0,18.0,22.0,brightest_rank=7;nearest_rank=353;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,False,False,False,,,0.23849999904632568,13.123359680175781,433.4716076053886
27,103.52,P2,gaia_dr3,3864972938605115520,nearest;high_pm,nearest:3;high_pm:11,2,57.52,24.0,0.0,22.0,nearest_rank=3;high_pm_rank=11;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,11.03839111328125,2.408597252748958,4715.329596916088
28,102.824,P2,gaia_dr3,3098328182579892096,high_pm;nearest,high_pm:7;nearest:117,2,50.824,20.0,10.0,22.0,nearest_rank=117;high_pm_rank=7;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,False,False,,,11.397289276123047,6.769479329847251,5205.341066310027
29,102.212,P2,gaia_dr3,35227046884571776,high_pm;nearest,high_pm:9;nearest:26,2,56.212,24.0,0.0,22.0,nearest_rank=26;high_pm_rank=9;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,12.263102531433105,3.831587320084787,5122.572817437822
30,101.972,P2,gaia_dr3,6427464123776727168,nearest;high_pm;brightest,nearest:93;high_pm:144;brightest:257,3,69.972,22.0,10.0,0.0,brightest_rank=257;nearest_rank=93;high_pm_rank=144;multi_cohort=3;ruwe_gt_1p4,ruwe_gt_1p4,1,True,False,True,99240,99240,3.364138126373291,6.099256325704463,1657.0453460034562
31,100.688,P2,hipparcos2,8102,nearest;high_pm;brightest,nearest:18;high_pm:53;brightest:308,3,74.688,26.0,0.0,0.0,brightest_rank=308;nearest_rank=18;high_pm_rank=53;multi_cohort=3,,0,True,False,True,2452378776434477184,2452378776434477184,3.629499912261963,3.650167942047119,1921.3543161270386
32,100.676,P2,gaia_dr3,778947608243864320,high_pm;nearest,high_pm:15;nearest:48,2,54.676,24.0,0.0,22.0,nearest_rank=48;high_pm_rank=15;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,12.25725269317627,4.905992744211656,4444.910732390888
33,100.532,P2,hipparcos2,5336,high_pm;nearest,high_pm:14;nearest:101,2,51.532,25.0,18.0,6.0,nearest_rank=101;high_pm_rank=14;multi_cohort=2;fis_supplemental_only_match;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,False,True,True,,411413822074322432,5.28980016708374,7.55401086807251,3777.3317722699444
34,99.172,P1,hipparcos2,106255,nearest;high_pm,nearest:120;high_pm:159,2,45.172,14.0,18.0,22.0,nearest_rank=120;high_pm_rank=159;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,False,False,False,,,11.94729995727539,8.297378540039062,1167.9315932450838
35,99.148,P1,hipparcos2,33499,nearest;high_pm,nearest:112;high_pm:173,2,45.148,14.0,18.0,22.0,nearest_rank=112;high_pm_rank=173;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,False,False,False,,,10.822999954223633,8.009612083435059,1104.428098610317
36,98.684,P2,gaia_dr3,385334196532776576,nearest;high_pm,nearest:18;high_pm:37,2,55.684,21.0,0.0,22.0,nearest_rank=18;high_pm_rank=37;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,9.686646461486816,3.5625891382907127,2882.4971475104458
37,97.876,P2,gaia_dr3,2306965202564744064,high_pm;nearest,high_pm:5;nearest:34,2,55.876,26.0,10.0,6.0,nearest_rank=34;high_pm_rank=5;multi_cohort=2;fis_supplemental_only_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,True,True,,439,7.682493686676025,4.345992568835256,6098.0774110471675
38,97.64,P2,gaia_dr3,411413822074322432,high_pm;nearest,high_pm:21;nearest:145,2,48.64,25.0,18.0,6.0,nearest_rank=145;high_pm_rank=21;multi_cohort=2;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,True,True,,5336,4.948012351989746,7.675299831910316,3804.9317826140914
39,97.484,P2,hipparcos2,84140,high_pm;nearest,high_pm:67;nearest:70,2,51.484,14.0,10.0,22.0,nearest_rank=70;high_pm_rank=67;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5,hip_solution_type_not_5,1,False,False,False,,,9.375300407409668,5.977643966674805,1661.8122678870798
40,97.252,P2,hipparcos2,16537,nearest;high_pm;brightest,nearest:8;high_pm:224;brightest:406,3,63.252,20.0,8.0,6.0,brightest_rank=406;nearest_rank=8;high_pm_rank=224;multi_cohort=3;fis_supplemental_only_match;hip_component_flag,hip_component_flag,1,False,True,True,,5164707970261890560,3.8652000427246094,3.2160544395446777,975.3647466460944
41,97.248,P1,gaia_dr3,4937000898856154624,high_pm;nearest,high_pm:63;nearest:393,2,32.248,13.0,30.0,22.0,nearest_rank=393;high_pm_rank=63;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;missing_bp_or_rp,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10;missing_bp_or_rp,4,False,False,False,,,13.08884048461914,10.797263882112274,2282.4046574711197
42,97.232,P2,gaia_dr3,18565464288396416,high_pm;nearest,high_pm:59;nearest:129,2,48.232,17.0,10.0,22.0,nearest_rank=129;high_pm_rank=59;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,False,False,,,10.333127975463867,7.223497637225653,2312.992093410109
43,96.612,P1,gaia_dr3,4468557611977674496,nearest;high_pm,nearest:57;high_pm:474,2,37.612,19.0,18.0,22.0,nearest_rank=57;high_pm_rank=474;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,False,False,,,5.539218425750732,5.105783367734121,1119.1352460080561
44,96.328,P2,gaia_dr3,3195919254111315712,high_pm;nearest,high_pm:18;nearest:52,2,54.328,20.0,0.0,22.0,nearest_rank=52;high_pm_rank=18;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,9.542240142822266,5.007735116119533,4018.5909343864387
45,95.76,P2,gaia_dr3,2947050466531873024,nearest,nearest:5,1,29.76,18.0,26.0,22.0,nearest_rank=5;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,False,False,False,,,8.52413272857666,2.6703012063129745,1024.3990768199035
46,95.7,P2,gaia_dr3,5164707970261890560,nearest;brightest,nearest:10;brightest:297,2,51.7,20.0,18.0,6.0,brightest_rank=297;nearest_rank=10;multi_cohort=2;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,True,True,,16537,3.465751886367798,3.219810408490127,974.9816626120372
47,95.504,P2,gaia_dr3,2441630500517079808,nearest;high_pm,nearest:44;high_pm:82,2,52.504,21.0,0.0,22.0,nearest_rank=44;high_pm_rank=82;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,11.773832321166992,4.846134286424774,2059.863604637996
48,95.34,P2,gaia_dr3,3195919528989223040,high_pm;nearest,high_pm:16;nearest:53,2,54.34,25.0,10.0,6.0,nearest_rank=53;high_pm_rank=16;multi_cohort=2;fis_supplemental_only_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,True,True,,19849,4.179893970489502,5.009818934047725,4089.835567370949
49,94.792,P2,hipparcos2,84709,nearest;high_pm,nearest:90;high_pm:164,2,46.792,16.0,10.0,22.0,nearest_rank=90;high_pm_rank=164;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5,hip_solution_type_not_5,1,False,False,False,,,6.019400119781494,6.835737705230713,1132.38232854456
50,94.56,P2,hipparcos2,37826,brightest;nearest,brightest:20;nearest:206,2,56.56,16.0,0.0,22.0,brightest_rank=20;nearest_rank=206;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,1.294700026512146,10.358400344848633,628.2217303627756
51,94.344,P1,hipparcos2,94223,nearest;high_pm,nearest:146;high_pm:222,2,41.344,8.0,23.0,22.0,nearest_rank=146;high_pm_rank=222;multi_cohort=2;no_official_or_fis_gaia_hip_match;parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,parallax_frac_error_gt_0p1;hip_solution_type_not_5;hip_component_flag,3,False,False,False,,,10.41670036315918,8.919014930725098,983.2585499755392
52,94.148,P2,hipparcos2,82817,nearest;high_pm,nearest:77;high_pm:148,2,48.148,14.0,10.0,22.0,nearest_rank=77;high_pm_rank=148;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5,hip_solution_type_not_5,1,False,False,False,,,9.013899803161621,6.195403099060059,1202.1091325249968
53,94.136,P2,gaia_dr3,19316224572460416,high_pm;nearest,high_pm:60;nearest:130,2,48.136,22.0,18.0,6.0,nearest_rank=130;high_pm_rank=60;multi_cohort=2;fis_supplemental_only_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1,ruwe_gt_1p4;astrometric_excess_noise_gt_1,2,False,True,True,,12114,5.498319625854492,7.228567098899183,2312.0985807901175
54,94.124,P2,hipparcos2,104214,high_pm;nearest,high_pm:7;nearest:12,2,57.124,29.0,8.0,0.0,nearest_rank=12;high_pm_rank=7;multi_cohort=2;hip_component_flag,hip_component_flag,1,True,False,True,1872046609345556480,1872046609345556480,5.368500232696533,3.4865071773529053,5297.402844422916
55,93.472,P2,gaia_dr3,1926461164913660160,nearest;high_pm,nearest:9;high_pm:169,2,51.472,18.0,2.0,22.0,nearest_rank=9;high_pm_rank=169;multi_cohort=2;no_official_or_fis_gaia_hip_match;phot_variable,phot_variable,1,False,False,False,,,10.379277229309082,3.159745481768476,1595.6225727435283
56,92.648,P2,hipparcos2,73184,high_pm;nearest,high_pm:48;nearest:62,2,52.648,22.0,18.0,0.0,nearest_rank=62;high_pm_rank=48;multi_cohort=2;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,True,False,True,6232511606838403968,6232511606838403968,5.876999855041504,5.840439319610596,2013.4847157353838
57,92.628,P2,hipparcos2,110893,nearest;high_pm,nearest:24;high_pm:223,2,48.628,12.0,10.0,22.0,nearest_rank=24;high_pm_rank=223;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5,hip_solution_type_not_5,1,False,False,False,,,9.572799682617188,4.000960350036621,980.8405893925883
58,92.52,P2,gaia_dr3,4847957293278177024,high_pm;nearest,high_pm:31;nearest:91,2,51.52,25.0,10.0,6.0,nearest_rank=91;high_pm_rank=31;multi_cohort=2;fis_supplemental_only_match;ruwe_gt_1p4,ruwe_gt_1p4,1,False,True,True,,15510,4.063914775848389,6.041412326770681,3120.8664603872057
59,92.304,P2,gaia_dr3,1695191332232990720,nearest;high_pm,nearest:60;high_pm:172,2,48.304,14.0,8.0,22.0,nearest_rank=60;high_pm_rank=172;multi_cohort=2;no_official_or_fis_gaia_hip_match;astrometric_excess_noise_gt_1,astrometric_excess_noise_gt_1,1,False,False,False,,,20.199527740478516,5.156201115944601,1585.0024599289502
60,91.8,P2,hipparcos2,81693,brightest;nearest,brightest:150;nearest:222,2,47.8,12.0,10.0,22.0,brightest_rank=150;nearest_rank=222;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5,hip_solution_type_not_5,1,False,False,False,,,2.933799982070923,10.715816497802734,574.5922978947768
61,91.648,P2,hipparcos2,99240,high_pm;nearest;brightest,high_pm:68;nearest:75;brightest:326,3,69.648,22.0,0.0,0.0,brightest_rank=326;nearest_rank=75;high_pm_rank=68;multi_cohort=3,,0,True,False,True,6427464123776727168,6427464123776727168,3.6875998973846436,6.108362197875977,1656.3836099768675
62,91.492,P2,gaia_dr3,5393446658454453632,nearest;high_pm,nearest:30;high_pm:189,2,49.492,18.0,2.0,22.0,nearest_rank=30;high_pm_rank=189;multi_cohort=2;no_official_or_fis_gaia_hip_match;phot_variable,phot_variable,1,False,False,False,,,14.005882263183594,4.045052387065994,1538.5573896297026
63,91.132,P2,gaia_dr3,6663600360560306560,high_pm;nearest,high_pm:34;nearest:79,2,52.132,17.0,0.0,22.0,nearest_rank=79;high_pm_rank=34;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,10.752913475036621,5.90894022941132,2970.129149977588
64,91.08,P2,hipparcos2,1242,nearest;high_pm,nearest:42;high_pm:236,2,47.08,12.0,10.0,22.0,nearest_rank=42;high_pm_rank=236;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5,hip_solution_type_not_5,1,False,False,False,,,11.432299613952637,4.986784934997559,951.2680493951219
65,91.06,P2,gaia_dr3,470826482637310848,high_pm;nearest,high_pm:56;nearest:67,2,52.06,17.0,0.0,22.0,nearest_rank=67;high_pm_rank=56;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,12.336190223693848,5.516541121244473,2361.1292201319934
66,91.02,P1,gaia_dr3,750586216906847104,nearest;high_pm,nearest:289;high_pm:326,2,29.02,14.0,26.0,22.0,nearest_rank=289;high_pm_rank=326;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,False,False,False,,,11.625255584716797,9.732158458529945,1261.3155899812286
67,90.7,P2,gaia_dr3,4677205714465503104,brightest,brightest:6,1,29.7,12.0,27.0,22.0,brightest_rank=6;no_official_or_fis_gaia_hip_match;astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,astrometric_params_not_31_or_95;visibility_periods_lt_8;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,4,False,False,False,,,1.9587749242782593,,
68,90.204,P2,hipparcos2,19849,high_pm;nearest,high_pm:12;nearest:41,2,55.204,29.0,0.0,6.0,nearest_rank=41;high_pm_rank=12;multi_cohort=2;fis_supplemental_only_match,,0,False,True,True,,3195919528989223040,4.561500072479248,4.984548091888428,4088.5675348830914
69,90.2,P1,hipparcos2,86032,brightest;nearest,brightest:54;nearest:478,2,38.2,12.0,18.0,22.0,brightest_rank=54;nearest_rank=478;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,False,False,False,,,2.126199960708618,14.896470069885254,246.52056668764982
70,90.18,P2,hipparcos2,61941,brightest;nearest,brightest:123;nearest:276,2,46.18,12.0,10.0,22.0,brightest_rank=123;nearest_rank=276;multi_cohort=2;no_official_or_fis_gaia_hip_match;hip_solution_type_not_5,hip_solution_type_not_5,1,False,False,False,,,2.8213000297546387,11.684972763061523,617.8126359989734
71,90.168,P1,gaia_dr3,981548637301374336,nearest;high_pm,nearest:230;high_pm:448,2,28.168,14.0,26.0,22.0,nearest_rank=230;high_pm_rank=448;multi_cohort=2;no_official_or_fis_gaia_hip_match;ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,ruwe_gt_1p4;astrometric_excess_noise_gt_1;ipd_frac_multi_peak_gt_10,3,False,False,False,,,11.699138641357422,9.023125614476156,1143.0372259659866
72,90.152,P2,gaia_dr3,5254061535106490112,nearest;high_pm,nearest:43;high_pm:149,2,50.152,18.0,0.0,22.0,nearest_rank=43;high_pm_rank=149;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,11.859421730041504,4.83162335968976,1647.8782706168802
73,90.14,P2,gaia_dr3,3757613049856225792,nearest;high_pm,nearest:39;high_pm:156,2,50.14,18.0,0.0,22.0,nearest_rank=39;high_pm_rank=156;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,12.837447166442871,4.559335387524727,1635.9696402596117
74,89.316,P2,gaia_dr3,5853498713190525696,nearest;high_pm,nearest:1;high_pm:20,2,57.316,24.0,8.0,0.0,nearest_rank=1;high_pm_rank=20;multi_cohort=2;ipd_frac_multi_peak_gt_10,ipd_frac_multi_peak_gt_10,1,True,False,True,70890,70890,8.984748840332031,1.3019705311704333,3859.2280915179717
75,88.824,P2,hipparcos2,21088,high_pm;nearest,high_pm:32;nearest:52,2,53.824,17.0,18.0,0.0,nearest_rank=52;high_pm_rank=32;multi_cohort=2;hip_solution_type_not_5;hip_component_flag,hip_solution_type_not_5;hip_component_flag,2,True,False,True,470826482637310080,470826482637310080,10.793399810791016,5.5781779289245605,2426.0882023537397
76,88.756,P2,gaia_dr3,3022956969731332096,high_pm;nearest,high_pm:55;nearest:106,2,49.756,17.0,0.0,22.0,nearest_rank=106;high_pm_rank=55;multi_cohort=2;no_official_or_fis_gaia_hip_match,,0,False,False,False,,,14.236672401428223,6.441748831195825,2378.0312370047723
